gene_ID,Log2FC,padj
C1QB,2.529494328,5.66E-08
PLA1A,2.526039242,7.16E-08
APELA,2.523641313,8.24E-06
IKZF3,2.52355229,1.09E-07
LOC112532844,2.519148396,0.01793174
PDK4,2.517637895,1.78E-15
IL8L2,2.514184868,0.000461777
CSRNP3,2.513099178,3.03E-09
LPXN,2.508854481,5.18E-12
LOC112529962,2.507497299,3.24E-05
TLR15,2.505230669,0.000475497
LOC112530215,2.503915639,2.64E-13
LOC101748987,2.498691896,4.39E-11
KLHL6,2.498190259,3.64E-10
MBP,2.49132741,4.71E-08
LOC112532978,2.488642936,0.038934127
AMY2A,2.483641126,0.004596628
C1QA,2.479855466,8.53E-10
NT5E,2.477504115,2.35E-16
SLC16A13,2.477267371,0.008376001
TRPC3,2.475617949,2.02E-07
IKBKE,2.471727046,3.58E-14
RASAL3,2.470296332,3.49E-07
GPR65,2.468760391,1.85E-08
SLC8A1,2.468598533,1.12E-12
ARHGAP27,2.467036626,6.28E-14
LOC107052672,2.457171893,9.95E-05
LOC112530152,2.453136117,0.004926202
FGF9,2.452738675,0.00037634
GDF7,2.449174027,4.37E-05
GGT5,2.447835264,1.99E-09
NYAP2,2.446163844,0.00625824
LOC101750670,2.444755722,0.001652619
